Name,Address,City,State,Zipcode,Neighborhood,Lat,Long
Blondies Pizza,63 POWELL STREET,SAN FRANCISCO,CA,94102,Tenderloin,37.785322,-122.407833
Viva Pizza Restaurant,318 COLUMBUS AVE,SAN FRANCISCO,CA,94133,North Beach,37.798291,-122.407237
Golden Boy Pizza,4531 MISSION ST,SAN FRANCISCO,CA,94112,Excelsior,,
Ocean Pizza Restaurant,1443 OCEAN AVE,SAN FRANCISCO,CA,94112,Oceanview/Merced/Ingleside,37.724209,-122.457713
Pizza Royal,464 BROADWAY ST,SAN FRANCISCO,CA,94133, ,37.798089,-122.404892
Cable Car Pizza,4704 MISSION ST,SAN FRANCISCO,CA,94112,Outer Mission,37.722882,-122.436178
Cable Car Pizza,464 BROADWAY ST,SAN FRANCISCO,CA,94133, ,,
Geary Street Bella Pizza,4124 GEARY BLVD,SAN FRANCISCO,CA,94118,Inner Richmond,"37° 46' 51.9708""","-122° 27' 49.5828"""
Pizza Orgasmica & Brewing Co,823 CLEMENT ST,SAN FRANCISCO,CA,94118,Inner Richmond,37.782784,-122.468094
Balboa Pizza,2051 BALBOA ST,SAN FRANCISCO,CA,94121,Outer Richmond,37.776462,-122.480731
Taraval Pizza,1115 TARAVAL ST,SAN FRANCISCO,CA,94116,Sunset/Parkside,"37° 44' 34.5942""","-122° 28' 41.5626"""
Pick Me Up Pizza Kitchen,680 POST ST,SAN FRANCISCO,CA,94109,Nob Hill,37.787689,-122.413067
